Restaurant ID,Restaurant Name,Address,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Rating text,Votes,Category,User_email,Reviews
6317637,Le Petit Souffle,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","French, Japanese, Desserts",1100,Yes,No,4.8,Excellent,314,1,akshara_gadwe@gmail.com,"Place was good , food was excellent"
6317637,Le Petit Souffle,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","French, Japanese, Desserts",1100,Yes,No,4.8,Excellent,314,1,thomas.shelby@gmail.com,"Loved the service , quite extraordinary"
6317637,Le Petit Souffle,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","French, Japanese, Desserts",1100,Yes,No,4.8,Excellent,314,1,aniket.bote98@gmail.com,Wow... Loved this place.
6317637,Le Petit Souffle,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","French, Japanese, Desserts",1100,Yes,No,4.8,Excellent,314,1,nairobi@gmail.com,Crust is not good.
6304287,Izakaya Kikufuji,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Japanese,1200,Yes,No,4.5,Excellent,591,1,aniket.bote98@gmail.com,Not tasty and the texture was just nasty.
6304287,Izakaya Kikufuji,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Japanese,1200,Yes,No,4.5,Excellent,591,1,nairobi@gmail.com,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.
6304287,Izakaya Kikufuji,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Japanese,1200,Yes,No,4.5,Excellent,591,1,akshara_gadwe@gmail.com,The selection on the menu was great and so were the prices.
6300002,Heat - Edsa Shangri-La,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Yes,No,4.4,Very Good,270,2,denver@gmail.com,Now I am getting angry and I want my damn pho.
6300002,Heat - Edsa Shangri-La,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Yes,No,4.4,Very Good,270,2,tokyo@gmail.com,Honeslty it didn't taste THAT fresh.)
6300002,Heat - Edsa Shangri-La,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Yes,No,4.4,Very Good,270,2,jon.snow@gmail.com,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.
6300002,Heat - Edsa Shangri-La,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Yes,No,4.4,Very Good,270,2,thomas.shelby@gmail.com,The fries were great too.
